County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. . No health insurance coverage,"6,641",  No health insurance coverage,No health insurance coverage
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. 65 years or over:,"13,494", 65 years or over,65 years or over
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. . With health insurance coverage,"13,494",  With health insurance coverage,With health insurance coverage
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Genesee County,Michigan, Michigan,"Genesee County, Michigan",Total:,"425,351",Total,Total
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. Under 18 years:,"107,922", Under 18 years,Under 18 years
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. . With health insurance coverage,"103,745",  With health insurance coverage,With health insurance coverage
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. . No health insurance coverage,"4,177",  No health insurance coverage,No health insurance coverage
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. 18 to 64 years:,"263,842", 18 to 64 years,18 to 64 years
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. . With health insurance coverage,"230,769",  With health insurance coverage,With health insurance coverage
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. . No health insurance coverage,"33,073",  No health insurance coverage,No health insurance coverage
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. 65 years or over:,"53,587", 65 years or over,65 years or over
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. . With health insurance coverage,"53,587",  With health insurance coverage,With health insurance coverage
Genesee County,Michigan, Michigan,"Genesee County, Michigan",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",Total:,"83,844",Total,Total
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. Under 18 years:,"19,252", Under 18 years,Under 18 years
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. . With health insurance coverage,"18,866",  With health insurance coverage,With health insurance coverage
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. . No health insurance coverage,386,  No health insurance coverage,No health insurance coverage
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. 18 to 64 years:,"52,261", 18 to 64 years,18 to 64 years
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. . With health insurance coverage,"44,299",  With health insurance coverage,With health insurance coverage
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. . No health insurance coverage,"7,962",  No health insurance coverage,No health insurance coverage
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. 65 years or over:,"12,331", 65 years or over,65 years or over
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. . With health insurance coverage,"12,331",  With health insurance coverage,With health insurance coverage
Grand Traverse County,Michigan, Michigan,"Grand Traverse County, Michigan",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Ingham County,Michigan, Michigan,"Ingham County, Michigan",Total:,"275,469",Total,Total
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. Under 18 years:,"61,040", Under 18 years,Under 18 years
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. . With health insurance coverage,"58,403",  With health insurance coverage,With health insurance coverage
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. . No health insurance coverage,"2,637",  No health insurance coverage,No health insurance coverage
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. 18 to 64 years:,"186,624", 18 to 64 years,18 to 64 years
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. . With health insurance coverage,"163,036",  With health insurance coverage,With health insurance coverage
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. . No health insurance coverage,"23,588",  No health insurance coverage,No health insurance coverage
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. 65 years or over:,"27,805", 65 years or over,65 years or over
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. . With health insurance coverage,"27,274",  With health insurance coverage,With health insurance coverage
Ingham County,Michigan, Michigan,"Ingham County, Michigan",. . No health insurance coverage,531,  No health insurance coverage,No health insurance coverage
Isabella County,Michigan, Michigan,"Isabella County, Michigan",Total:,"65,771",Total,Total
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. Under 18 years:,"12,326", Under 18 years,Under 18 years
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. . With health insurance coverage,"11,476",  With health insurance coverage,With health insurance coverage
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. . No health insurance coverage,850,  No health insurance coverage,No health insurance coverage
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. 18 to 64 years:,"47,239", 18 to 64 years,18 to 64 years
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. . With health insurance coverage,"39,303",  With health insurance coverage,With health insurance coverage
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. . No health insurance coverage,"7,936",  No health insurance coverage,No health insurance coverage
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. 65 years or over:,"6,206", 65 years or over,65 years or over
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. . With health insurance coverage,"6,164",  With health insurance coverage,With health insurance coverage
Isabella County,Michigan, Michigan,"Isabella County, Michigan",. . No health insurance coverage,42,  No health insurance coverage,No health insurance coverage
Jackson County,Michigan, Michigan,"Jackson County, Michigan",Total:,"152,957",Total,Total
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. Under 18 years:,"37,790", Under 18 years,Under 18 years
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. . With health insurance coverage,"36,843",  With health insurance coverage,With health insurance coverage
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. . No health insurance coverage,947,  No health insurance coverage,No health insurance coverage
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. 18 to 64 years:,"94,827", 18 to 64 years,18 to 64 years
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. . With health insurance coverage,"81,689",  With health insurance coverage,With health insurance coverage
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. . No health insurance coverage,"13,138",  No health insurance coverage,No health insurance coverage
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. 65 years or over:,"20,340", 65 years or over,65 years or over
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. . With health insurance coverage,"20,340",  With health insurance coverage,With health insurance coverage
Jackson County,Michigan, Michigan,"Jackson County, Michigan",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",Total:,"243,839",Total,Total
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. Under 18 years:,"56,401", Under 18 years,Under 18 years
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. . With health insurance coverage,"53,893",  With health insurance coverage,With health insurance coverage
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. . No health insurance coverage,"2,508",  No health insurance coverage,No health insurance coverage
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. 18 to 64 years:,"159,095", 18 to 64 years,18 to 64 years
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. . With health insurance coverage,"137,338",  With health insurance coverage,With health insurance coverage
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. . No health insurance coverage,"21,757",  No health insurance coverage,No health insurance coverage
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. 65 years or over:,"28,343", 65 years or over,65 years or over
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. . With health insurance coverage,"28,237",  With health insurance coverage,With health insurance coverage
Kalamazoo County,Michigan, Michigan,"Kalamazoo County, Michigan",. . No health insurance coverage,106,  No health insurance coverage,No health insurance coverage
Kent County,Michigan, Michigan,"Kent County, Michigan",Total:,"599,592",Total,Total
Kent County,Michigan, Michigan,"Kent County, Michigan",. Under 18 years:,"161,107", Under 18 years,Under 18 years
Kent County,Michigan, Michigan,"Kent County, Michigan",. . With health insurance coverage,"153,858",  With health insurance coverage,With health insurance coverage
Kent County,Michigan, Michigan,"Kent County, Michigan",. . No health insurance coverage,"7,249",  No health insurance coverage,No health insurance coverage
Kent County,Michigan, Michigan,"Kent County, Michigan",. 18 to 64 years:,"377,250", 18 to 64 years,18 to 64 years
Kent County,Michigan, Michigan,"Kent County, Michigan",. . With health insurance coverage,"319,542",  With health insurance coverage,With health insurance coverage
Kent County,Michigan, Michigan,"Kent County, Michigan",. . No health insurance coverage,"57,708",  No health insurance coverage,No health insurance coverage
Kent County,Michigan, Michigan,"Kent County, Michigan",. 65 years or over:,"61,235", 65 years or over,65 years or over
Kent County,Michigan, Michigan,"Kent County, Michigan",. . With health insurance coverage,"61,182",  With health insurance coverage,With health insurance coverage
Kent County,Michigan, Michigan,"Kent County, Michigan",. . No health insurance coverage,53,  No health insurance coverage,No health insurance coverage
